decade	coll	BE going to	will
1850	produce	0	79
1850	propose	0	0
1850	protect	0	32
1850	prove	2	113
1850	provide	0	30
1850	pull	0	0
1850	put	10	78
1850	quit	1	0
1850	rain	4	0
1850	raise	0	31
1850	reach	0	27
1850	read	5	60
1850	receive	3	81
1850	recognize	0	16
1850	reduce	0	3
1850	remain	2	129
1850	remember	0	137
1850	render	0	32
1850	report	0	8
1850	require	0	83
1850	rest	0	20
1850	result	0	23
1850	retire	0	0
1850	return	1	100
1850	ride	2	0
1850	rise	0	65
1850	ruin	1	0
1850	run	8	46
1850	sail	0	0
1850	satisfy	0	30
1850	save	1	70
1850	say	32	210
1850	secure	0	35
1850	see	14	442
1850	seek	3	55
1850	seem	0	36
1850	sell	8	32
1850	send	9	133
1850	serve	0	99
1850	set	3	65
1850	settle	1	21
1850	share	0	24
1850	shoot	1	0
1850	show	3	209
1850	shut	0	0
1850	sing	1	21
1850	sit	2	35
1850	sound	1	0
1850	speak	7	72
1850	spend	1	11
1850	stand	0	91
1850	start	2	21
1850	stay	10	41
1850	steal	0	0
1850	step	0	0
1850	stick	0	0
1850	stop	3	29
1850	strike	4	16
1850	study	0	0
1850	succeed	1	43
1850	sue	0	0
1850	suffer	0	45
1850	suffice	0	54
1850	suggest	0	0
1850	supply	0	28
1850	support	1	28
1850	surprise	0	0
1850	survive	0	14
1850	take	34	520
1850	talk	4	54
1850	teach	3	50
1850	tear	1	0
1850	tell	24	345
1850	tend	0	29
1850	think	0	107
1850	throw	2	43
1850	travel	2	0
1850	treat	0	0
1850	trust	0	0
1850	try	11	141
1850	turn	7	82
1850	understand	0	40
1850	use	1	42
1850	visit	5	16
1850	vote	0	8
1850	wait	1	55
1850	wake	0	0
1850	walk	3	21
1850	want	0	41
1850	wash	0	0
1850	waste	0	0
1850	watch	1	28
1850	wear	2	24
1850	win	1	20
1850	work	0	68
1850	write	6	49
1850	yield	0	51
1860	accept	0	76
1860	act	4	27
1860	add	1	40
1860	admit	0	48
1860	affect	0	11
1860	afford	0	32
1860	agree	0	42
1860	allow	0	106
1860	answer	0	91
1860	appear	0	92
1860	apply	0	32
1860	arise	0	18
1860	arrest	1	0
1860	arrive	0	18
1860	ask	24	49
1860	attack	2	0
1860	attempt	0	18
1860	attend	0	27
1860	be	175	7944
1860	bear	0	80
1860	beat	3	0
1860	become	6	168
1860	begin	4	52
1860	believe	0	47
1860	benefit	0	2
1860	blow	1	0
1860	break	6	52
1860	bring	4	220
1860	build	3	19
1860	burn	3	19
1860	bury	0	0
1860	buy	8	22
1860	call	4	98
1860	carry	4	67
1860	catch	1	0
1860	cause	0	36
1860	cease	0	29
1860	change	3	18
1860	check	0	0
1860	choose	0	16
1860	clean	0	0
1860	clear	1	0
1860	climb	0	0
1860	close	0	17
1860	come	1	518
1860	consider	0	31
1860	contain	0	10
1860	continue	1	99
1860	cook	0	0
1860	cost	0	44
1860	cover	0	15
1860	create	0	9
1860	cross	2	0
1860	cry	0	0
